Commodities,Countries,DomesticForeign,District,Time,Value ($US) (Default Member)
"2504 Natural Graphite","Canada","Total Exports","All Districts","2015","3621211"
"2504 Natural Graphite","Canada","Total Exports","All Districts","2016","4194911"
"2504 Natural Graphite","Canada","Total Exports","All Districts","2017","4728338"
"2504 Natural Graphite","Canada","Total Exports","All Districts","2018","3306594"
"2504 Natural Graphite","Canada","Total Exports","All Districts","2019","1480134"
"2504 Natural Graphite","Canada","Total Exports","All Districts","2020","1513717"
"2504 Natural Graphite","Canada","Total Exports","All Districts","2021","2408804"
"2504 Natural Graphite","Canada","Total Exports","All Districts","2022","2698603"
"2504 Natural Graphite","Canada","Total Exports","All Districts","2023","3247936"
"2504 Natural Graphite","Canada","Total Exports","All Districts","2024","3235926"
"2822 Cobalt Oxide & Hydroxide; Commercial Cobalt Oxides","Canada","Total Exports","All Districts","2015","18292"
"2822 Cobalt Oxide & Hydroxide; Commercial Cobalt Oxides","Canada","Total Exports","All Districts","2016","63628"
"2822 Cobalt Oxide & Hydroxide; Commercial Cobalt Oxides","Canada","Total Exports","All Districts","2017","137034"
"2822 Cobalt Oxide & Hydroxide; Commercial Cobalt Oxides","Canada","Total Exports","All Districts","2018","1191436"
"2822 Cobalt Oxide & Hydroxide; Commercial Cobalt Oxides","Canada","Total Exports","All Districts","2019","689258"
"2822 Cobalt Oxide & Hydroxide; Commercial Cobalt Oxides","Canada","Total Exports","All Districts","2020","2392680"
"2822 Cobalt Oxide & Hydroxide; Commercial Cobalt Oxides","Canada","Total Exports","All Districts","2021","2708483"
"2822 Cobalt Oxide & Hydroxide; Commercial Cobalt Oxides","Canada","Total Exports","All Districts","2022","254099"
"2822 Cobalt Oxide & Hydroxide; Commercial Cobalt Oxides","Canada","Total Exports","All Districts","2023","2046593"
"2822 Cobalt Oxide & Hydroxide; Commercial Cobalt Oxides","Canada","Total Exports","All Districts","2024","362208"
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Canada","Total Exports","All Districts","2015","16908909"
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Canada","Total Exports","All Districts","2016","15147618"
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Canada","Total Exports","All Districts","2017","18674103"
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Canada","Total Exports","All Districts","2018","20012139"
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Canada","Total Exports","All Districts","2019","23188154"
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Canada","Total Exports","All Districts","2020","16859690"
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Canada","Total Exports","All Districts","2021","18028323"
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Canada","Total Exports","All Districts","2022","21438292"
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Canada","Total Exports","All Districts","2023","21630353"
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Canada","Total Exports","All Districts","2024","21316520"
"7501 Nickle Mattes, Nickle Oxide Sinters, Oth Int Prod","Canada","Total Exports","All Districts","2015","6989208"
"7501 Nickle Mattes, Nickle Oxide Sinters, Oth Int Prod","Canada","Total Exports","All Districts","2016","5886785"
"7501 Nickle Mattes, Nickle Oxide Sinters, Oth Int Prod","Canada","Total Exports","All Districts","2017","9229523"
"7501 Nickle Mattes, Nickle Oxide Sinters, Oth Int Prod","Canada","Total Exports","All Districts","2018","5166696"
"7501 Nickle Mattes, Nickle Oxide Sinters, Oth Int Prod","Canada","Total Exports","All Districts","2019","4292228"
"7501 Nickle Mattes, Nickle Oxide Sinters, Oth Int Prod","Canada","Total Exports","All Districts","2020","3212864"
"7501 Nickle Mattes, Nickle Oxide Sinters, Oth Int Prod","Canada","Total Exports","All Districts","2021","7385165"
"7501 Nickle Mattes, Nickle Oxide Sinters, Oth Int Prod","Canada","Total Exports","All Districts","2022","4051780"
"7501 Nickle Mattes, Nickle Oxide Sinters, Oth Int Prod","Canada","Total Exports","All Districts","2023","8504876"
"7501 Nickle Mattes, Nickle Oxide Sinters, Oth Int Prod","Canada","Total Exports","All Districts","2024","23850570"
"7502 Nickle, Unwrought","Canada","Total Exports","All Districts","2015","7458951"
"7502 Nickle, Unwrought","Canada","Total Exports","All Districts","2016","7371217"
"7502 Nickle, Unwrought","Canada","Total Exports","All Districts","2017","8081880"
"7502 Nickle, Unwrought","Canada","Total Exports","All Districts","2018","10786599"
"7502 Nickle, Unwrought","Canada","Total Exports","All Districts","2019","7725103"
"7502 Nickle, Unwrought","Canada","Total Exports","All Districts","2020","8180176"
"7502 Nickle, Unwrought","Canada","Total Exports","All Districts","2021","8632587"
"7502 Nickle, Unwrought","Canada","Total Exports","All Districts","2022","15498559"
"7502 Nickle, Unwrought","Canada","Total Exports","All Districts","2023","11664279"
"7502 Nickle, Unwrought","Canada","Total Exports","All Districts","2024","10269221"
"7503 Nickel Waste And Scrap","Canada","Total Exports","All Districts","2015","66049658"
"7503 Nickel Waste And Scrap","Canada","Total Exports","All Districts","2016","62993214"
"7503 Nickel Waste And Scrap","Canada","Total Exports","All Districts","2017","93608695"
"7503 Nickel Waste And Scrap","Canada","Total Exports","All Districts","2018","123683968"
"7503 Nickel Waste And Scrap","Canada","Total Exports","All Districts","2019","78282340"
"7503 Nickel Waste And Scrap","Canada","Total Exports","All Districts","2020","40701487"
"7503 Nickel Waste And Scrap","Canada","Total Exports","All Districts","2021","33543558"
"7503 Nickel Waste And Scrap","Canada","Total Exports","All Districts","2022","60744549"
"7503 Nickel Waste And Scrap","Canada","Total Exports","All Districts","2023","91532626"
"7503 Nickel Waste And Scrap","Canada","Total Exports","All Districts","2024","90873186"
"7504 Nickel Powders And Flakes","Canada","Total Exports","All Districts","2015","7567223"
"7504 Nickel Powders And Flakes","Canada","Total Exports","All Districts","2016","7687768"
"7504 Nickel Powders And Flakes","Canada","Total Exports","All Districts","2017","6107744"
"7504 Nickel Powders And Flakes","Canada","Total Exports","All Districts","2018","8126133"
"7504 Nickel Powders And Flakes","Canada","Total Exports","All Districts","2019","7162968"
"7504 Nickel Powders And Flakes","Canada","Total Exports","All Districts","2020","7365514"
"7504 Nickel Powders And Flakes","Canada","Total Exports","All Districts","2021","7408672"
"7504 Nickel Powders And Flakes","Canada","Total Exports","All Districts","2022","12341207"
"7504 Nickel Powders And Flakes","Canada","Total Exports","All Districts","2023","12400378"
"7504 Nickel Powders And Flakes","Canada","Total Exports","All Districts","2024","9775648"
"7505 Nickel Bars, Rods, Profiles And Wire","Canada","Total Exports","All Districts","2015","40639604"
"7505 Nickel Bars, Rods, Profiles And Wire","Canada","Total Exports","All Districts","2016","31037458"
"7505 Nickel Bars, Rods, Profiles And Wire","Canada","Total Exports","All Districts","2017","31105679"
"7505 Nickel Bars, Rods, Profiles And Wire","Canada","Total Exports","All Districts","2018","39100026"
"7505 Nickel Bars, Rods, Profiles And Wire","Canada","Total Exports","All Districts","2019","47763283"
"7505 Nickel Bars, Rods, Profiles And Wire","Canada","Total Exports","All Districts","2020","28897340"
"7505 Nickel Bars, Rods, Profiles And Wire","Canada","Total Exports","All Districts","2021","32903516"
"7505 Nickel Bars, Rods, Profiles And Wire","Canada","Total Exports","All Districts","2022","51354032"
"7505 Nickel Bars, Rods, Profiles And Wire","Canada","Total Exports","All Districts","2023","66990255"
"7505 Nickel Bars, Rods, Profiles And Wire","Canada","Total Exports","All Districts","2024","66935460"
"7506 Nickle Plates, Sheets, Strip And Foil","Canada","Total Exports","All Districts","2015","13211502"
"7506 Nickle Plates, Sheets, Strip And Foil","Canada","Total Exports","All Districts","2016","12791861"
"7506 Nickle Plates, Sheets, Strip And Foil","Canada","Total Exports","All Districts","2017","13258288"
"7506 Nickle Plates, Sheets, Strip And Foil","Canada","Total Exports","All Districts","2018","19319453"
"7506 Nickle Plates, Sheets, Strip And Foil","Canada","Total Exports","All Districts","2019","20065193"
"7506 Nickle Plates, Sheets, Strip And Foil","Canada","Total Exports","All Districts","2020","15155897"
"7506 Nickle Plates, Sheets, Strip And Foil","Canada","Total Exports","All Districts","2021","16919691"
"7506 Nickle Plates, Sheets, Strip And Foil","Canada","Total Exports","All Districts","2022","22729268"
"7506 Nickle Plates, Sheets, Strip And Foil","Canada","Total Exports","All Districts","2023","25468925"
"7506 Nickle Plates, Sheets, Strip And Foil","Canada","Total Exports","All Districts","2024","20783702"
"7507 Nickle Tubes, Pipes And Tube Or Pipe Fittings","Canada","Total Exports","All Districts","2015","23883907"
"7507 Nickle Tubes, Pipes And Tube Or Pipe Fittings","Canada","Total Exports","All Districts","2016","18496306"
"7507 Nickle Tubes, Pipes And Tube Or Pipe Fittings","Canada","Total Exports","All Districts","2017","16657534"
"7507 Nickle Tubes, Pipes And Tube Or Pipe Fittings","Canada","Total Exports","All Districts","2018","19790276"
"7507 Nickle Tubes, Pipes And Tube Or Pipe Fittings","Canada","Total Exports","All Districts","2019","21558746"
"7507 Nickle Tubes, Pipes And Tube Or Pipe Fittings","Canada","Total Exports","All Districts","2020","17552509"
